Recipe Name,Ingredients,Time to cook,Cuisine,Instructions,Cleaned-Ingredients,Ingredient-count,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Tomato Curry Leaf Chutney With No Onion No Garlic Recipe,"1/2 teaspoon Turmeric powder (Haldi),4 Tomatoes - finely chopped,2 Green Chillies - finely chopped,1 pinch Sugar,2 sprigs Curry leaves,1 sprig Coriander (Dhania) Leaves - finely chopped,Salt - or rock salt to taste",40,South Indian Recipes,"We begin making the Tomato Curry Leaf Chutney With No Onion No Garlic Recipe by heating the kadai with oil and add all the ingredients.Saute for about 15 minutes till the tomatoes become mushy and the raw smell goes away.Once it has cool down , blend it in a mixer till it becomes a smooth paste.Serve your Tomato Curry Leaf Chutney With No Onion No Garlic Recipe with Rajgira Panner Paratha Recipe to enjoy your morning breakfast.","tomato,salt salt,coriander (dhania) leaves,sugar,curry leaves,turmeric powder,green chillies",7,462.02,11.32,1.91,45.3,0.8,1.26,143.53,5.82,0.36,4.78,11.68
Baked Oats and Whole Wheat Kachori Stuffed with Peas Recipe,"1 teaspoon Amchur (Dry Mango Powder),1 Green Chilli,1 cup Green peas (Matar),Salt - to taste,Water - to knead,1 teaspoon Red Chilli powder,1 teaspoon Ajwain (Carom seeds),1 cup Whole Wheat Flour,1/2 cup Instant Oats (Oatmeal),1/4 cup Extra Virgin Olive Oil,1 sprig Coriander (Dhania) Leaves,1 teaspoon Chaat Masala Powder,1 teaspoon Salt",65,North Indian Recipes,"We begin making the Oats and whole wheat Kachori stuffed with Peas Recipe make dough for the outer layer first, add whole wheat flour, oats and ajwain, salt, and oil in a mixing bowl and mix well with fingers and palm.Add water to make a smooth and firm dough.
Rest the dough for 15 minutes.
Once it is done resting, divide the dough into small equal rounds.
While the dough is resting make the stuffing, grind all the ingredients mentioned in the list to a coarse mixture and keep it aside.Now to stuff the dough with filling, take one ball and press the sides of dough with fingers so that the center of the kachori is a little thick.Fill the center with a tablespoon of stuffing and seal it from all sides to form the kachori.
Repeat the same for the rest of the kachoris.Meanwhile, preheat Oven to 180 degrees Celsius for 10 minutes.
Place an aluminum foil on a baking tray and brush it with oil.Place kachoris at a half inch distance from each other and brush upper portion of kachoris with oil.
Bake in oven for 20 minutes at 180 degrees Celsius.
You can brush it with honey to give a nice golden colour.
Serve the Oats and whole wheat Kachori stuffed with Peas Recipe along with cup of Masala Chai Recipe - Indian Spiced Tea or you use it to make a Raj Kachori Recipe for your evening snack.","salt,wheat flour,water knead,green chilli,amchur (dry mango powder),ajwain (carom seeds),chaat masala powder,green peas (matar),virgin olive oil,red chilli powder,coriander (dhania) leaves,instant oats (oatmeal)",12,121.96,2.12,16.14,5.43,0.35,0.38,74.36,18.8,0.35,13.01,67.06
Masala Carrot And Peas Sandwich Recipe,"5 cloves Garlic - finely chopped,1 cup Green peas (Matar) - boiled,Salt - to taste,1/2 teaspoon Black pepper powder,2 Green Chillies - finely chopped,6 Whole Wheat Brown Bread,1/4 cup Cheese - grated,1 cup Carrot (Gajjar) - grated,1 teaspoon Chaat Masala Powder",50,Continental,"To begin making Carrot and Peas Sandwich Recipe, heat 1 tablespoon oil in a pan.
Once the oil is heated, add finely chopped garlic and green chillies in the pan.Saute for a few seconds and add the grated carrots and boiled green peas and let it cook for 10 minutes or till the vegetables are cooked through.Once done add black pepper powder and chaat masala and stir.
Add salt according to your taste and mix everything properly.
Turn off the heat and keep aside.
Now to prepare the sandwich, take a slice of bread and spread some filling evenly on the slice.Garnish the carrot and peas mixture layer with grated cheese.
Close it with another slice of bread.
Grill the sandwich in a grilling pan from both the sides till golden brown.
Cut the sandwhich diagonally and serve hot.Serve Carrot and Peas Sandwich along with a hot cup of Masala Chai or Cantaloupe Pomegranate and Mint Juice .","cheese,wheat brown bread,salt,chaat masala powder,green peas (matar),cloves garlic,carrot,black pepper powder,green chillies",9,235.32,18.51,7.31,15.12,2.01,1.81,461.66,115.68,0.86,6.0,17.42
Stuffed Onion Vegetable Recipe - Bharwa Pyaz Ki Sabzi Recipe," 1 tsp coriander powder,20 small onions, 1 tsp turmeric powder, 6 cloves garlic - finely chopped, 1 tsp red chili powder, 1 tsp mango powder, salt - as per taste, 1 inch ginger - finely chopped, 2 Sprig coriander - finely chopped",25,North Indian Recipes,"To make the Bharwa Onion Vegetable Recipe, first make two cuts on the top of the onion.
Take care not to cut it completely.
In a mixing bowl, add red chili powder, turmeric powder, mango powder, coriander powder, salt and mix.
Add a little water to it and make a paste.
With the help of your hand, fill this spice inside the onion.
Keep the remaining paste separately.
Now heat oil in a pan.
Add ginger, garlic and cook for 30 seconds.
After 30 seconds, add the filled onions, remaining paste and mix it.
Now take hot water in a bowl and put tamarind in it.
After 3 to 4 minutes, remove the tamarind and put the tamarind water in the onion.
Cover the pan and cook till the onion becomes soft.
Between the bitches After cooking, garnish with green coriander and serve.
Serve the Bharwa Onion Vegetable Recipe along with Punchmel Dal, Bundi Raita and Phulka for dinner.","turmeric powder,salt,ginger,coriander,red chilli powder,cloves garlic,onion,coriander powder,mango powder",9,174.21,36.02,4.7,0.94,27.36,1.93,34.94,90.06,2.27,8.48,36.84
Quinoa Vegetable Upma Recipe,"1 teaspoon White Urad Dal (Split),1/4 cup Carrot (Gajjar) - finely chopped,1/2 teaspoon Coriander Powder (Dhania),1 Tomato - finely chopped,Coriander (Dhania) Leaves - few,1 teaspoon Mustard seeds,1/2 teaspoon Garam masala powder,2 Green Chillies - finely chopped,2 tablespoons Extra Virgin Olive Oil,1 teaspoon Chana dal (Bengal Gram Dal),1 Shallot - finely chopped,Salt - as needed,1 cup Quinoa,Green beans (French Beans) - finely chopped,1/4 Green peas (Matar),1/4 Del Monte Whole Corn Kernels,2 cups Water,6 Curry leaves,1/2 teaspoon Cumin seeds (Jeera)",50,Fusion,"To begin making Quinoa Vegetable Khichdi, first heat a heavy bottomed pan on medium flame, add the olive oil and mustard seeds and allow them to splutter.
Next add the cumin seeds, urad dal, channa dal, curry leaves and green chili.
Saute it all for a few seconds.Add the chopped shallots and sprinkle a little salt.
Saute gently until they turn translucent.
Next, add the vegetables - beans, carrots, corn, peas and cook on a medium flame until they are half cooked.Next, add the chopped tomatoes, mix well and saute sauté for a couple of minutes.
Follow this by adding coriander powder, garam masala, quinoa and sauté once again for a couple of minutes, until the masalas cook through.Add 2 cups of water and adjust salt according to your taste.Increase the heat to medium and bring the water to a boil.
Then, reduce the heat and cover the pan, allowing the quinoa to cooked completely.
It will absorb all the water completely.Take the pan off the heat, garnish the Quinoa Vegetable Upma with fresh chopped coriander leaves and serve.Quinoa Vegetable Upma can be served with Lehsuni Pudina Chutney Recipe and Apple, Kiwi, Pineapple Juice Recipe.
","tomato,green chillies,green beans (french beans),salt,del monte corn kernels,mustard seeds,coriander (dhania) leaves,green peas (matar),water,virgin olive oil,curry leaves,carrot,white urad dal (split),cumin seeds (jeera),coriander powder,chana dal (bengal gram dal),quinoa,garam masala powder",18,146.47,16.46,4.73,6.63,1.39,4.19,347.02,26.68,1.35,14.42,50.48
Whole Wheat Espresso Chocolate Streusel Cake Recipe,"1 cup Apricots - finely chopped,1-3/4 cup Whole Wheat Flour,1/2 cup Butter (unsalted) - cold and cut in a small chunks,1 cup Brown Sugar (Demerara Sugar),1/4 cup Coffee Decoction,1 teaspoon Cinnamon Powder (Dalchini),3/4 cup Pecans - chopped coarsely,225 grams Dark chocolate - coarsely chopped,1-1/2 teaspoon Baking powder,3/4 teaspoon Baking soda,1/4 cup Cocoa Powder,3/4 cup Sour cream,3/4 cup Brown Sugar (Demerara Sugar),125 grams Butter (unsalted) - at room temperature,4 tablespoon Sugar,2 Whole Eggs,2 teaspoon Vanilla Extract,3/4 cup Whole Wheat Flour",85,Continental,"To begin making the Whole Wheat Espresso Chocolate Streusel Cake Recipe, first get all the ingredients ready for all the steps.To make the Streusel topping, combine all the ingredients in a bowl.
Using your fingers make a coarse crumble of the mixture.
Refrigerate the crumble until we are ready to use it.To make the center layer of the Streusel, combine the sugar and nuts in a bowl and keep it aside.The next step is the make the cake.
Preheat the oven at 180 C.
Grease and line 9-inch round cake pan.In a double boiler, melt the chocolate.
Once the chocolate melts, add the espresso to the melted chocolate and stir well to combine until it looks creamy and smooth.
Keep the melted chocolate sauce aside.Sift in a bowl, flour, baking powder, baking soda and cocoa powder and keep aside.Beat together sugar, butter and sour cream using a hand mixer until just creamy.
Do not over beat it.
Add one egg and continue to beat until the eggs are fluffy.
Gradually beat in the vanilla essence and espresso chocolate mixture.
Finally gradually fold in the flour mixture and beat until the cake mixture is just about combined.
Don't overbeat at this stage.Pour 1/2 of the cake batter in into the cake pan.
Spread the nuts and sugar over this layer and finally top it with the remaining cake batter.
Finally sprinkle the refrigerated streusel topping evenly on the top and press it slightly.Place the cake in the preheated oven and bake for about 55 to 60 minutes, until a tester inserted in the center comes out clean.
Note: After 30 minutes, if you find the top over browning, just cover with aluminium foil to avoid burning.Once done, remove from the oven and allow the cake to cool.
Once cooled, the Whole Wheat Espresso Chocolate Cake is ready to be served.","baking powder,wheat flour,apricots,sour,butter cold,baking soda,sugar,vanilla,dark chocolate,brown sugar (demerara sugar),eggs,cocoa powder,pecans,coffee decoction,butter,cinnamon powder (dalchini)",16,335.61,45.14,6.01,15.18,27.58,0.64,241.93,41.13,1.08,0.15,9.21
Banana Pomegranate Raita Recipe - Kela Anar Raita,"1 cup yogurt, 1/2 teaspoon cumin powder - take it out, 1 teaspoon Dijon mustard, 1/4 teaspoon red chili powder, 1 cup banana - fried, 1 teaspoon sugar, 1/4 cup pomegranate, salt - According to taste",150,Indian,"To make Banana Pomegranate Raita, firstly add curd, salt, red chili powder, sugar, Dejon mustard and cumin powder in a bowl.
Mix well.
After mixing, add pomegranate and banana.
Put the bowl in the fridge for 2 hours and mix.
Serve.
Serve banana pomegranate raita with gourd elder greens and phulka for dinner.","salt,yogurt,red chilli powder,sugar,cumin powder take out,dijon mustard,pomegranate,banana",8,72.64,7.15,4.05,3.24,7.01,0.6,195.18,138.31,0.25,4.6,23.86
Dhania Wale Aloo Recipe - Coriander Potato Dry,"1/2 teaspoon Cumin powder (Jeera),500 grams Baby Potatoes,2 teaspoons Sesame seeds (Til seeds) - dry roasted,1 Green Chilli,1 cup Coriander (Dhania) Leaves - roughly chopped,1/2 teaspoon Black pepper powder,1 inch Ginger,1/2 teaspoon Garam masala powder - optional,2 teaspoons Lemon juice,1 tablespoon Ghee - or clarified butter,Rock Salt - you can use the normal salt too",40,Indian,"To begin making the Dhania Wale Aloo Recipe, wash and boil the baby potatoes in a pressure cooker to two whistles (until they are cooked yet firm), peel and keep aside.Also, dry roast sesame seeds in a pan in low heat to golden brown colour and keep aside.Next, add all the ingredients mentioned in the 'Dhania Chutney' including coriander leaves, green chillies, ginger and grind it to a smooth paste with little water using a hand blender or mixer and keep aside.Heat ghee in a heavy bottomed pan on low flame, add the cumin seeds powder, pepper, garam masala and sendha namak or rock salt.Add the boiled baby potatoes and sauté until they are mildly roasted in low heat.
This will take around 10 minutes.Now, add the dhania chutney that we prepared earlier to the potatoes and give it a good toss.Let the potatoes simmer for 10 minutes, occasionally stir in-between, until the potatoes are well coated by the masala paste.Switch off the flame, add the lemon juice and give it a good toss.Garnish with toasted sesame seeds and serve hot.
Serve Dhania Wale Aloo along with Phulkas and Palak Raita for a weekday lunch or dinner.","cumin powder (jeera),sesame seeds (til seeds) dry,ginger,green chilli,ghee,coriander (dhania) leaves,lemon,baby potatoes,black pepper powder,salt you can the normal salt too,garam masala powder",11,103.15,14.38,1.62,4.18,0.33,1.88,199.99,17.2,0.83,23.23,15.7
Baked Potato-Spaghetti Rolls Recipe,"2 inch Ginger,4 Green Chilli - (adjust),2 teaspoon Extra Virgin Olive Oil,3/4 cup Fried Bread Cubes (Croutons) - seasoned with chopped garlic & dried rosemary,10 sprigs Coriander (Dhania) Leaves,Salt and Pepper - to taste,1 Potato (Aloo),50 gram Spaghetti Pasta,Lemon juice - few drops",70,Fusion,"To prepare Baked Potato-Spaghetti Rolls Recipe, cook spaghetti in a pan of water as per the instructions mentioned on the spaghetti packet, drain and cool it when done.Peel and cut potato into small pieces and boil in a pressure cooker for about 3 whistles and mash it.Powder the croutons in a mixer.
and keep it aside.
Coarsely bend in coriander leaves, ginger, green chili in the mixer and keep it aside.Chop the cooled spaghetti into small pieces and keep it aside.
Add potato, spaghetti, croutons, coriander leaves mix, salt into a single pot.Add few drops of lemon.Mix and mash everything together.
Take a small portion and make them into oval shaped balls.Do the same for the rest of the mixture.
Place them on a tray, covered with a cling film.
Keep them in a refrigerator for a minimum of 20 minutes.Preheat Oven for 5 minutes at 180 degrees Celsius.Take an Oven tray and brush oil.
Covering with aluminum foil is optional.Take the potato-spaghetti rolls and place them in the tray.
Brush oil.
One side is enough.Place the tray inside the oven and bake for 30, and keep checking at every 15 minutes.Brush oil if necessary but this is optional.Flip the pieces once the bottom side is cooked.
Generally, the bottom side gets cooked faster and it again depends on your oven.Potato Spaghetti Rolls Recipe is ready to be served hot with Dhaniya Pudina chutney recipe or Roasted Tomato Sauce Recipe.","gram spaghetti pasta,salt,ginger,green chilli,potato (aloo),virgin olive oil,bread cubes (croutons) seasd garlic dried rosemary,coriander (dhania) leaves,pepper,lemon drops",10,147.05,5.85,5.73,11.21,3.44,0.3,268.69,106.56,0.27,18.93,42.67
Palak Paneer Bhurji Recipe - Palak Paneer Bhurji Recipe," oil - as per use, 2 cloves garlic - finely chopped, 2 tsp mango powder, 1 onion - finely chopped, 50 grams spinach - finely chopped, 2 green chillies - finely chopped, 2 tsp red chilli powder, 1/2 small Teaspoon cumin, 1 tbsp butter, salt - as per taste,200 grams cheese - pinch, 2 tsp garam masala powder, 1 tomato - finely chopped",45,North Indian Recipes,"To make the Palak Paneer Bhurji recipe, firstly make paneer.
You can also buy cheese from outside.
Steal the cheese and keep it aside.
Now heat oil in a pan.
Add cumin seeds and let it crackle.
After the cumin seeds crackle, add ginger, garlic, green chillies, onions and cook them till the onions turn light brown.
Now add tomatoes and cook till they become soft.
Add the spinach and cook until the spinach is cooked.
Now add red chili powder, garam masala powder, mango powder, paneer and mix well.
Add the butter and cook for 3 to 4 minutes.
After cooking, turn off the gas and serve hot.
Serve the spinach paneer bhurji with dal makhni, boondi raita and phulka for dinner.","cheese,tomato,salt,cumin,spinach,red chilli powder,cloves garlic,onion,oil,mango powder,green chillies,butter,garam masala powder",13,77.68,4.43,4.03,4.76,2.55,1.91,166.87,113.25,1.85,60.21,267.05
Sweet & Spicy Vegetable Hong Kong Style Recipe,"3 Dry Red Chillies - halved,1-1/2 cups Vegetable stock,1/4 cup Green beans (French Beans) - cut into inch pieces,1/2 Green Bell Pepper (Capsicum) - cut into chunks,1 Carrot (Gajjar) - cut into chunks,2 teaspoons Red Chilli sauce,2 inch Ginger - grated,2 tablespoons Soy sauce,2 tablespoons Corn flour - mixed with 1/4 cup water,1/2 teaspoon Sugar,2 teaspoon Chilli vinegar,200 grams Tofu - cut into cubes,3 cloves Garlic - finely chopped,Salt and Pepper - for seasoning,2 tablespoon Sunflower Oil,1/2 Red Bell pepper (Capsicum) - cut into chunks",30,Cantonese,"To begin making the Sweet and Spicy Vegetable Hong Kong Style Recipe heat the oil in a wok on high heat add the garlic, ginger, green bell peppers and the carrots and green beans.
Stir fry on high heat for a few minutes until you have tender-crisp vegetables.Once done add the chillies, tofu and stir-fry for 2 more minutes on high heat.
After two minutes add the soy sauce, chilli sauce, vinegar, sugar, salt, and pepper and mix well.Add the cornflour paste and the vegetable stock; simmer until the sauce thickens.
Turn off heat and serve Sweet and Spicy Vegetable Hong Kong Style hot.Serve the Sweet & Spicy Vegetable Hong Kong Style Recipe along with Sichuan fried Rice for a delicious asian dinner.","salt,green beans (french beans),red bell pepper (capsicum),ginger,vegetable stock,pepper,cloves garlic,carrot,soy sauce,chilli vinegar,sugar,dry red chillies,green bell pepper (capsicum),tofu,red chilli sauce,corn flour mixed water,sunflower oil",17,174.21,36.02,4.7,0.94,27.36,1.93,34.94,90.06,2.27,8.48,36.84
Tender Coconut Ice Cream Recipe,"1 cup Fresh cream,1/4 cup Sugar - granulated,Honey - for glazing (Optional),Ice cream cone - (Optional),1 cup Tender coconut meat - + Little extra,1/2 cup Condensed Milk,1/2 cup Tender coconut water",360,Indian,"To begin making the Tender Coconut Ice Cream recipe, in a grinder or blender, grind tender coconut meat along with tender coconut water to make a puree.
Now add the full fat cream, sugar and the condensed milk into the same jar and beat everything together until well combined.
Chop the extra tender coconut into small chunks and ix it into the the tender coconut ice cream.Your ice cream is all ready now.
Pour this tender coconut ice cream mixture in a freezer safe bowl with a tight lid and freeze it for minimum 5-6 hours.Once the ice cream is frozen remove the bowl out, scoop the tender coconut ice cream into the serving bowl.
Drizzle some honey over it and a few broken ice cream cone pieces and enjoy.Serve Tender Coconut Ice Cream as a dessert after you simple meal of Mixed Vegetable Sambar, South Indian Coconut Chutney and Ghee Masala Dosa.","tender coconut meat,tender coconut water,glazing (optional),ice,sugar,condensed milk,c (optional)",7,125.69,11.14,3.4,7.62,11.01,0.52,29.13,67.17,0.39,44.98,142.26
Coffee Chocolate Truffles Recipe,"200 grams Dark chocolate,7-8 tablespoons Cocoa Powder,50 grams Butter (unsalted) - at room temperature,150 grams Heavy whipping cream,1 tablespoon Instant Coffee Powder",90,Continental,"To begin making Coffee Chocolate Truffles Recipe, take a saucepan and add the heavy cream and bring it to a boil on low heat.
Once the heavy cream has come to a boil, add the Instant Coffee Powder and mix it well.
Once coffee powder and heavy cream have combined well, turn off the flame.
Break dark chocolate in small pieces in a heatproof bowl.
Add the softened butter to this bowl.Pour the hot cream and coffee mixture to the chocolate and butter.
Let it rest for one or two minutes.
We will see that chocolate has started melting.
Stir the mixture until it forms a smooth consistency Pour the mixture in a shallow dish,cover it with a cling wrap and keep it in fridge for an hour.
After an hour take truffle mixture out of the fridge.
Scoop out some mixture using a spoon and roll them with your palm, do it quickly as if you keep rolling them, they might start melting.Toss the truffle in cocoa powder and keep aside.
Repeat the same process for the rest of the mixture.
Once done keep the Truffle in the fridge until they feel firm.Serve these Coffee Chocolate Truffles as a dessert with your continental meal of Spinach Corn Pasta In Whole Wheat White Sauce, Garlic Bread With Herb Butter and Roasted Garlic Potato Soup","heavy whipping cream,instant coffee powder,dark chocolate,cocoa powder,butter",5,90.01,9.02,3.43,4.61,8.86,0.0,36.04,113.63,0.33,3.62,13.41
Pui Shaker Chorchori Recipe - Mixed Vegetable Curry With Malabar Spinach,"1/2 teaspoon Turmeric powder (Haldi),1 cup Kaddu (Parangikai/ Pumpkin) - cut into big pieces,1 teaspoon Cumin powder (Jeera),Salt - to taste,1/2 teaspoon Panch Phoran Masala,2 tablespoons Mustard oil - or vegetable oil,1/2 cup Potato (Aloo) - cut into small pieces,3-4 cups Malabar Spinach Leaves - as well as stalks chopped into big pieces,2-3 Dry Red Chillies,1 cup Brinjal (Baingan / Eggplant) - cut into big pieces,1 teaspoon Sugar - optional,1/2 cup Mooli/ Mullangi (Radish) - cut into small pieces",25,North East India Recipes,"To begin making the Pui Shaager Chorchori Recipe, firstly we will wash the vegetables and the leaves well in water.
Keep them aside.
Heat mustard oil in a heavy bottomed pan on low heat.
Once hot, add 1/2 teaspoon of panch phoran masala, followed by red chillies.After 30 seconds, add the pieces of pumpkin, radish, potato, eggplant and saute them well.
Now add the spinach leaves to the vegetables and sprinkle some water for the vegetables to cook.You can also cook the pumpkin and potatoes in pressure cooker first for one whistle.Simultaneously, cook the rest of the vegetables in a kadai with water, add the spinach and cooked pumpkin and potato to this once done.
To this add salt, turmeric powder and cumin powder.
Cover and cook for 15 to 20 minutes till the vegetables are tender.
The vegetables should be well cooked and tender.
Stir the vegetables well and add a teaspoon of sugar (optional) and mix well.Break 2-3 whole green chillies and add to the Pui Shaager to spice up the dish a little.If the vegetable feels dry, add some water and cook.
Once done, switch off the gas and serve hot.Serve Pui Shaager Chorchori along with Bengali Style Cholar Dal and Steamed Rice for your everyday meals.
You can also serve Begun Bhaja along with this meal.","salt,cumin powder (jeera),parangikai pumpkin,mustard oil vegetable oil,brinjal (baingan eggsplant),potato (aloo),sugar,malabar spinach leaves stalks,dry red chillies,panch phoran masala,turmeric powder,mooli mullangi (radish)",12,35.71,2.95,8.22,11.66,1.64,1.64,9202.27,50.69,1.74,20.06,31.61
Till Wale Aloo Recipe - Sesame Potato Sabzi,"1 teaspoon Cumin powder (Jeera),Salt - to taste,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,2 tablespoons Sweet Chutney (Date & Tamarind),Coriander (Dhania) Leaves - chopped (few),1 tablespoon Ginger - paste,3 Potato (Aloo) - boiled,1 Green Chilli - chopped,1 tablespoon Sunflower Oil,1-1/12 tablespoons Sesame seeds (Til seeds)",20,Indian,"To begin making the Till Wale Aloo Recipe, heat oil in a heavy bottomed pan.
Once the oil is hot, add ginger and green chillies.
Make sure you don't burn them.
After a minute, add sesame seeds and saute for a while.
Add potatoes and toss it for about 2 minutes.After 2 minutes, add red chilli powder, cumin powder, coriander powder, garam masala and salt to taste.
Saute for 3-4 minutes on low flame.After 3 to 4 minutes, add tamarind chutney, mix it well and cook for one more minute.
Garnish with chopped coriander leaves and serve hot.Serve Till Wale Aloo along with Gujarati Dal, Roti and Kachumber Salad for a weekday meal.","salt,cumin powder (jeera),green chilli,coriander powder,coriander (dhania) leaves,potato (aloo),red chilli powder,sweet chutney (date tamarind),ginger paste,sesame seeds (til seeds),garam masala powder,sunflower oil",12,632.84,4.53,1.09,67.8,0.27,0.83,132.53,6.79,0.37,8.96,16.02
Sweet & Spicy Stuffed Paneer In Kofta Curry Recipe,"3 cloves Garlic,1 Mace (Javitri),1/4 teaspoon Turmeric powder (Haldi),Salt - to taste,1 Onion - roughly chopped,1/2 cup Fresh cream,1 tablespoon Honey,2 Green Chilli - finely chopped,6 Pistachios - finely chopped,1 cup Homemade tomato puree,10 Cashew nuts - soaked and grind to a smooth paste,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),6 Badam (Almond) - finely chopped,2-3 Cloves (Laung),2 teaspoons Gram flour (besan),2-3 Cardamom (Elaichi) Pods/Seeds,2 tablespoons Curd (Dahi / Yogurt),2 teaspoons Coriander Powder (Dhania),1/2 teaspoon Red Chilli powder,2 Bay leaf (tej patta),1 inch Ginger,1 Cinnamon Stick (Dalchini),6 Cashew nuts - finely chopped,1 tablespoon Raisins,1/4 teaspoon Cardamom Powder (Elaichi),1 teaspoon Sunflower Oil,200 grams Paneer (Homemade Cottage Cheese) - cut into 1-inch cubes,1 Star anise,1 teaspoon Ginger - finely chopped",40,North Indian Recipes,"To begin making Stuffed Paneer In Kofta Curry Recipe, we will begin with the stuffing for the panner.
Scoop out or cut out little paneer from the center of each cube.
You can use a melon scooper or with a small spoon.
Transfer the scooped out paneer to a bowl, crumble / grate and set aside.Heat oil in a heavy bottomed pan.
Add finely chopped green chillies and ginger, sauté until the ginger is fragrant.Add raisins and chopped nuts, sauté another 30 seconds.
Add this mixture to crumbled paneer along with, turmeric powder, besan, salt and cardamom powder.
Mix well to come.
Adjust the salt according to taste.Stuff this paneer and nut mixture in scooped out paneer cubes and press firmly.
Heat a teaspoon of oil in a pan over medium heat.
Add the stuffed paneer pieces and pan fry the paneer cubes until lightly golden on both sides.
Once done remove from the pan and keep aside.
To begin making the kofta curry, grind the onion, ginger and garlic to a smooth paste.
Keep aside.Grind the cashewnuts along with a little water and make a smooth paste.
Keep aside.
Heat oil in a pan over medium heat;  add the whole spices and saute it for a few seconds until you can smell the aromas coming through.
Add the ginger garlic and onion paste and saute for about a minute until the raw smell goes away.At this stage, add the turmeric powder, coriander powder, and red chilli powder.
Adding the condiments to the onion ginger garlic paste helps further reduce the raw smell.
Saute for a few seconds and then add the tomato puree, cashewnut puree, salt to taste and the fresh cream.
 Add a little water to adjust the consistency of the kofta gravy.
Simmer this kofta curry for 3 to 4 minutes until the flavors combine well.
Once done, turn off the heat, stir in the kasuri methi and check the salt and spices.
Adjust to suit your taste.Transfer the kofta curry to a serving bowl and when you are ready to serve, place the stuffed paneer in the curry and serve warm.
Serve your Stuffed Paneer Baskets with Punjabi Dal Tadka, Mixed Vegetable Pulao (Pilaf), Butter Garlic Naan, Kela Anar Raita for a perfect weekend dinner with family and friends.","tomato,pistachios,cloves garlic,onion,cardamom powder (elaichi),turmeric powder,sunflower oil,paneer cubes,salt,green chilli,cardamom (elaichi) podsseeds,raisins,mace (javitri),star anise,red chilli powder,curd,kasuri methi (dried fenugreek leaves),cashew nuts,ginger,bay leaf (tej patta),gram flour (besan),badam (almond),cinnamon stick (dalchini),coriander powder,cloves (laung)",25,176.52,8.4,7.8,12.38,6.29,1.4,216.09,189.06,0.81,20.04,95.56
Barley Whole Wheat Coffee Marble Cake Recipe,"1-1/2 teaspoons Baking powder,3/4 cup Barley flour,1 cup Butter (unsalted),2 teaspoons Instant Coffee Powder - (adjust based on its strength),1 cup Caster Sugar - (adjust),1 cup Whole Wheat Flour,1 pinch Salt,4 tablespoons Lukewarm Water - (adjust),4 Whole Eggs",50,Continental,"To prepare Barley Wholewheat Coffee Marble Cake Recipe, preheat oven to 180 degree Celsius.In a large mixing bowl, beat together the sieved sugar and butter until the mixture turns pale, creamy and fluffy.
[I used an electric beater for the whole process]Add the eggs one by one and continue to beat on low speed.
Once all the eggs have been added, beat for a few seconds on medium speed till all the ingredients have been mixed well.Sift together the flours, baking powder and salt.Now add the sifted flour mixture little by little and gently fold it in using a rubber spatula to form a creamy batter.
[please note: do not use your electric beater for this process]Grease and line a cake tin.Now divide the prepared cake batter into 2 equal parts and add into 2 bowls.Mix the instant coffee powder in 2.5 tablespoons water to form a thick creamy coffee paste.Add the coffee paste into one portion of cake batter and gently fold it in till well incorporated.
[do a taste test once fully mixed and add more coffee-warm water paste if you like a stronger flavor]Add the rest of the warm water to the plain cake batter and mix well.Now you have both your cake mixes ready.Into the prepared cake tin, first add a dollop of plain cake batter.
Follow it up by a dollop of coffee flavored cake batter.
Continue this process till you have used up your entire cake batter.Tap the bottom of your cake tin on your work surface, to ensure there are no air bubbles.Take a skewer/ toothpick and swirl it around the mixture in the tin a few times to create a marbled effect.Bake the cake at 180 degree Celsius for 40 to 45 minutes or until a skewer inserted into the center comes out clean.
[oven times may vary, so be careful not to burn your cake]Turn out onto a cooling rack and leave to cool.Slice and serve Barley Whole wheat Coffee Marble Cake Recipe with a glass of milk or just as it is.
Enjoy!","baking powder,wheat flour,salt,instant coffee powder ( based on its strength),water,caster sugar,barley flour,eggs,butter",9,354.11,46.88,6.3,16.27,27.56,0.71,138.48,39.6,1.12,0.08,8.85
